,date,country_code,continent,cumulative_pos,cumulative_dec,curr_pos,gdp_per_cap,gini_index,gini_year,population,pop_density,unemploy_rates,dec_pos_ratio,cpos_norm,cdec_norm
47,2021-02-15,GTM,,167383,6150,161233.0,4619.985258,48.3,2014,16604026.0,152.5471258,2.359999895,0.036742082529289115,0.010080868338799277,0.0003703920964710607
48,2021-02-15,GIN,AF,14967,85,14882.0,962.8399086,33.7,2012,12771246.0,50.52221227,4.139999866,0.005679160820471704,0.0011719295047640614,6.655576127810865e-06
49,2021-02-15,GNB,AF,2924,46,2878.0,697.2949269,50.7,2010,1920922.0,66.65394737,2.789999962,0.01573187414500684,0.0015221857004084497,2.3946833864154816e-05
50,2021-02-15,GUY,SA,8232,186,8046.0,6609.586425,44.6,1998,782766.0,3.957348235,13.90999985,0.02259475218658892,0.010516552839545917,0.00023761890526670805
51,2021-02-15,HTI,,12206,247,11959.0,1272.490925,41.1,2012,11263077.0,403.5985486,13.47999954,0.02023594953301655,0.0010837180639003,2.1930064049104875e-05
52,2021-02-15,HND,,160983,3893,157090.0,2574.912191,50.5,2017,9746117.0,85.68703191,5.570000172,0.024182677674040115,0.016517655185136808,0.00039944113127310084
53,2021-03-14,HUN,EU,516490,16952,147647.0,16731.82151,30.4,2015,9769949.0,107.1177296,3.420000076,0.03282154543166373,0.05286516848757348,0.0017351165292674507
54,2021-03-13,ISL,EU,6072,29,20.0,66944.83308,27.8,2014,361313.0,3.498175146,3.50999999,0.004776021080368906,0.016805373734130796,8.02628192176866e-05
55,2021-02-15,IND,AS,10916589,155732,10760857.0,2099.599048,35.7,2011,1366417754.0,454.9380726,5.269999981,0.014265628210423605,0.007989203132089865,0.0001139710015799458
56,2021-02-15,IDN,AS,1217468,33183,1184285.0,4135.569263,38.1,2017,270625568.0,142.5623043,3.619999886,0.027255747173642347,0.004498717578673128,0.00012261590892993524
57,2021-02-15,IRQ,AS,643852,13179,630673.0,5955.10901,29.5,2012,39309783.0,88.53057163,12.76000023,0.020468989767834844,0.016378925317394908,0.0003352600547298875
58,2021-03-13,IRL,EU,226358,4534,,78660.95646,31.8,2015,4941444.0,70.65344753,4.949999809,0.02003021761987648,0.045808067439396256,0.0009175455595570849
59,2021-02-15,ISR,AS,727485,5403,722082.0,43592.08358,38.9,2016,9053300.0,410.4805915,3.799999952,0.007426957256850657,0.08035578186959451,0.0005967989572862934
60,2021-03-13,ITA,EU,3201838,101881,520061.0,33228.23668,35.4,2015,60297396.0,202.941457,9.949999809,0.03181953615392159,0.05310076740295717,0.0016896417881793768
